,Loss Ratio (%)
Availability Losses,19.880857239315805
Electrical Losses,3.8177263617664123
Environmental Losses,1.59
Technical Losses,1.1979010000000012
Total Losses,28.917770965556485
Wake Losses,5.131004458817832
