,Loss Ratio (%)
Availability Losses,4.129614816767253
Electrical Losses,4.01096002132651
Environmental Losses,1.59
Technical Losses,1.1979010000000012
Total Losses,14.741170075563545
Wake Losses,4.714274524740111
